id,alive,request,resolve,url,subdomain,level,cname,ip,public,cdn,port,status,reason,title,banner,cidr,asn,org,addr,isp,source
8,1,1,1,http://elasticsearch.quoccabank.com,elasticsearch.quoccabank.com,1,master.prod.quoccabank.com,13.236.65.216,1,0,80,200,OK,CTFProxy Single-Sign On,CTFProxy/1b1974a-dirty,13.236.0.0/14,AS16509,AMAZON-02,澳大利亚新南威尔士悉尼,亚马逊,Brute
9,1,1,1,https://elasticsearch.quoccabank.com,elasticsearch.quoccabank.com,1,master.prod.quoccabank.com,13.236.65.216,1,0,443,200,OK,CTFProxy Single-Sign On,CTFProxy/1b1974a-dirty,13.236.0.0/14,AS16509,AMAZON-02,澳大利亚新南威尔士悉尼,亚马逊,Brute
29,1,1,1,https://example.quoccabank.com,example.quoccabank.com,1,master.prod.quoccabank.com,13.236.65.216,1,0,443,200,OK,CTFProxy Single-Sign On,CTFProxy/1b1974a-dirty,13.236.0.0/14,AS16509,AMAZON-02,澳大利亚新南威尔士悉尼,亚马逊,Brute
56,1,1,1,http://example.quoccabank.com,example.quoccabank.com,1,master.prod.quoccabank.com,13.236.65.216,1,0,80,200,OK,CTFProxy Single-Sign On,CTFProxy/1b1974a-dirty,13.236.0.0/14,AS16509,AMAZON-02,澳大利亚新南威尔士悉尼,亚马逊,Brute
50,1,1,1,https://files.quoccabank.com,files.quoccabank.com,1,master.prod.quoccabank.com,13.236.65.216,1,0,443,200,OK,CTFProxy Single-Sign On,CTFProxy/1b1974a-dirty,13.236.0.0/14,AS16509,AMAZON-02,澳大利亚新南威尔士悉尼,亚马逊,Brute
59,1,1,1,http://files.quoccabank.com,files.quoccabank.com,1,master.prod.quoccabank.com,13.236.65.216,1,0,80,200,OK,CTFProxy Single-Sign On,CTFProxy/1b1974a-dirty,13.236.0.0/14,AS16509,AMAZON-02,澳大利亚新南威尔士悉尼,亚马逊,Brute
13,1,1,1,http://gaia.quoccabank.com,gaia.quoccabank.com,1,master.prod.quoccabank.com,13.236.65.216,1,0,80,200,OK,CTFProxy Single-Sign On,CTFProxy/1b1974a-dirty,13.236.0.0/14,AS16509,AMAZON-02,澳大利亚新南威尔士悉尼,亚马逊,Brute
57,1,1,1,https://gaia.quoccabank.com,gaia.quoccabank.com,1,master.prod.quoccabank.com,13.236.65.216,1,0,443,200,OK,CTFProxy Single-Sign On,CTFProxy/1b1974a-dirty,13.236.0.0/14,AS16509,AMAZON-02,澳大利亚新南威尔士悉尼,亚马逊,Brute
61,1,1,1,http://gcc.quoccabank.com,gcc.quoccabank.com,1,master.prod.quoccabank.com,13.236.65.216,1,0,80,200,OK,CTFProxy Single-Sign On,CTFProxy/1b1974a-dirty,13.236.0.0/14,AS16509,AMAZON-02,澳大利亚新南威尔士悉尼,亚马逊,Brute
64,1,1,1,https://gcc.quoccabank.com,gcc.quoccabank.com,1,master.prod.quoccabank.com,13.236.65.216,1,0,443,200,OK,CTFProxy Single-Sign On,CTFProxy/1b1974a-dirty,13.236.0.0/14,AS16509,AMAZON-02,澳大利亚新南威尔士悉尼,亚马逊,Brute
